ID	Score
en_0	5.28
en_1	4.45
en_2	3.9
en_3	4.87
en_4	5.07
en_5	4.03
en_6	4.98
en_7	1.6
en_8	4.8
en_9	4.78
en_10	4.73
en_11	3.9
en_12	4.06
en_13	4.3
en_14	4.46
en_15	3.61
en_16	3.31
en_17	2.91
en_18	5.06
en_19	3.54
en_20	3.93
en_21	4.87
en_22	4.97
en_23	4.3
en_24	4.04
en_25	4.82
en_26	3.96
en_27	5.07
en_28	3.04
en_29	4.71
en_30	5.12
en_31	3.54
en_32	1.39
en_33	4.62
en_34	5.1
en_35	5.26
en_36	4.8
en_37	4.67
en_38	5.81
en_39	2.05
en_40	4.33
en_41	1.77
en_42	4.61
en_43	5.7
en_44	5.16
en_45	5.59
en_46	4.72
en_47	4.56
en_48	5.04
en_49	3.54
en_50	5.27
en_51	3.54
en_52	1.6
en_53	5.86
en_54	4.73
en_55	4.08
en_56	1.6
en_57	4.89
en_58	4.2
en_59	4.57
en_60	4.58
en_61	3.83
en_62	3.54
en_63	5.14
en_64	2.79
en_65	5.01
en_66	5.16
en_67	4.3
en_68	4.83
en_69	4.23
en_70	5.94
en_71	4.67
en_72	5.24
en_73	4.88
en_74	2.09
en_75	3.79
en_76	5.37
en_77	3.02
en_78	4.6
en_79	4.79
en_80	4.38
en_81	4.7
en_82	4.94
en_83	4.77
en_84	4.86
en_85	4.66
en_86	3.75
en_87	3.52
en_88	1.9
en_89	1.61
en_90	4.28
en_91	5.02
en_92	5.15
en_93	3.34
en_94	4.64
en_95	4.86
en_96	4.88
en_97	5.05
en_98	4.31
en_99	4.61
en_100	4.04
en_101	4.36
en_102	5.09
en_103	4.8
en_104	5.78
en_105	5.36
en_106	4.07
en_107	1.44
en_108	4.76
en_109	4.43
en_110	4.7
en_111	4.8
en_112	4.52
en_113	4.84
en_114	4.94
en_115	4.85
en_116	5.04
en_117	4.98
en_118	5.02
en_119	4.18
en_120	5.34
en_121	3.58
en_122	4.73
en_123	5.25
en_124	5.59
en_125	4.46
en_126	4.95
en_127	5.03
en_128	4.54
en_129	4.62
en_130	4.62
en_131	5
en_132	4.18
en_133	3.78
en_134	4.92
en_135	4.61
en_136	4.93
en_137	3.94
en_138	4.38
en_139	5.02
en_140	4.22
en_141	4.99
en_142	3.94
en_143	4.98
en_144	5.06
en_145	3.87
en_146	5.26
en_147	3.7
en_148	4.89
en_149	4.38
en_150	4.54
en_151	4.27
en_152	4.88
en_153	3.16
en_154	5.28
en_155	4.84
en_156	3.31
en_157	4.44
en_158	4.39
en_159	3.54
en_160	5.14
en_161	4.79
en_162	5.2
en_163	4.97
en_164	4.81
en_165	3.55
en_166	5.64
en_167	4.75
en_168	4.31
en_169	3.74
en_170	5.12
en_171	5.01
en_172	5.54
en_173	5.24
en_174	4.65
en_175	4.6
en_176	1.84
en_177	4.76
en_178	4.84
en_179	5.21
en_180	4.66
en_181	3.78
en_182	4.52
en_183	3.66
en_184	4.78
en_185	4.64
en_186	4.34
en_187	5.64
en_188	5.2
en_189	5.11
en_190	1.77
en_191	4.46
en_192	3.57
en_193	5.13
en_194	2.68
en_195	4.14
en_196	5.06
en_197	5.04
en_198	5.48
en_199	1.68
en_200	4.26
en_201	5.08
en_202	3.55
en_203	4.78
en_204	5.3
en_205	4.48
en_206	4.45
en_207	1.87
en_208	4.02
en_209	4.74
en_210	4.73
en_211	3.88
en_212	5.02
en_213	5.12
en_214	3.76
en_215	4.74
en_216	5.55
en_217	3.62
en_218	5.04
en_219	4.62
en_220	2
en_221	3.63
en_222	5.14
en_223	3.33
en_224	5.33
en_225	4.12
en_226	4.98
en_227	1.5
en_228	5.19
en_229	3.95
en_230	3.74
en_231	5.58
en_232	1.69
en_233	5.62
en_234	5.31
en_235	5.09
en_236	4.48
en_237	4.98
en_238	5.96
en_239	4.76
en_240	4.97
en_241	3.87
en_242	4.08
en_243	3.29
en_244	4.08
en_245	4.62
en_246	3.65
en_247	4.98
en_248	4.68
en_249	4.68
en_250	4.46
en_251	3.74
en_252	4.3
