ID	Score
en_0	5.23
en_1	3.37
en_2	4.47
en_3	4.52
en_4	5.68
en_5	5.24
en_6	5.81
en_7	2.97
en_8	4.94
en_9	3.52
en_10	5.85
en_11	5.21
en_12	5.65
en_13	5.47
en_14	5.45
en_15	2.96
en_16	5.63
en_17	5.47
en_18	1.21
en_19	2.13
en_20	5.53
en_21	1.4
en_22	4.64
en_23	4.25
en_24	4.52
en_25	5.1
en_26	1.22
en_27	3.19
en_28	2.48
en_29	1.2
en_30	4.03
en_31	5.12
en_32	1.87
en_33	5.07
en_34	1.18
en_35	5.05
en_36	2.14
en_37	1.17
en_38	4.71
en_39	2.78
en_40	4.84
en_41	4.65
en_42	5.37
en_43	5.37
en_44	5.45
en_45	1.17
en_46	5.8
en_47	5.27
en_48	5.08
en_49	1.31
en_50	2.82
en_51	1.21
en_52	2.78
en_53	3.86
en_54	3.7
en_55	5.81
en_56	1.16
en_57	4.93
en_58	1.74
en_59	1.33
en_60	4.5
en_61	5.06
en_62	1.3
en_63	5.36
en_64	5.59
en_65	1.36
en_66	4.02
en_67	1.36
en_68	5.87
en_69	3.77
en_70	4.67
en_71	1.24
en_72	4.57
en_73	4.86
en_74	5.47
en_75	5.76
en_76	4.82
en_77	5.48
en_78	3.19
en_79	5.67
en_80	5.29
en_81	5.02
en_82	4.25
en_83	5.04
en_84	1.76
en_85	4.1
en_86	4.67
en_87	4.1
en_88	5.48
en_89	5.79
en_90	5.01
en_91	4.34
en_92	5.15
en_93	5.41
en_94	5.49
en_95	4.98
en_96	5.19
en_97	1.51
en_98	1.49
en_99	5.32
en_100	4.75
en_101	5.62
en_102	5.12
en_103	5.7
en_104	5.81
en_105	2.44
en_106	5.73
en_107	1.69
en_108	1.22
en_109	5.78
en_110	5.47
en_111	5.39
en_112	4.51
en_113	4.22
en_114	5.34
en_115	1.09
en_116	2.76
en_117	5.1
en_118	4.87
en_119	4.84
en_120	5.43
en_121	1.25
en_122	5.8
en_123	1.3
en_124	5.77
en_125	5.03
en_126	1.17
en_127	1.28
en_128	4.62
en_129	5.47
en_130	1.29
en_131	2.03
en_132	2.68
en_133	2.06
en_134	1.17
en_135	3.8
en_136	2.26
en_137	4.35
en_138	3.64
en_139	5.65
en_140	4.92
en_141	5.5
en_142	1.44
en_143	5.03
en_144	1.12
en_145	1.4
en_146	4.47
en_147	5.58
en_148	5.14
en_149	5.23
en_150	5.53
en_151	4.93
en_152	4.24
en_153	3.37
en_154	5.43
en_155	1.37
en_156	5.3
en_157	5.34
it_0	1.38
it_1	5.58
it_2	5.33
it_3	5.2
it_4	5.67
it_5	5.15
it_6	5.67
it_7	2.17
it_8	5.42
it_9	1.34
it_10	5.48
it_11	1.46
it_12	1.51
it_13	5.93
it_14	4.41
it_15	5.28
it_16	4.12
it_17	1.32
it_18	5.47
it_19	1.65
it_20	5.58
it_21	1.29
it_22	3.83
it_23	4.74
it_24	4.08
it_25	1.9
it_26	3.93
it_27	5.53
it_28	6.55
it_29	4.19
it_30	5.19
it_31	5.63
it_32	4.06
it_33	4.47
it_34	5.37
it_35	4.18
it_36	1.33
it_37	4.77
it_38	5.92
it_39	5.06
it_40	5.79
it_41	4.67
it_42	5.81
it_43	4.71
it_44	2.84
it_45	3.96
it_46	5.91
