ID	Score
en_0	5.14
en_1	4.57
en_2	5.57
en_3	4.19
en_4	4.8
en_5	4.6
en_6	4.95
en_7	3.32
en_8	5.15
en_9	5.38
en_10	5.31
en_11	4.13
en_12	5.36
en_13	4.67
en_14	4.41
en_15	4.23
en_16	4.88
en_17	4.84
en_18	5.56
en_19	3.32
en_20	4.1
en_21	4.46
en_22	5.39
en_23	4.43
en_24	4.65
en_25	5.13
en_26	4.87
en_27	5.42
en_28	3.91
en_29	4.78
en_30	4.72
en_31	4.49
en_32	4.02
en_33	4.5
en_34	4.73
en_35	4.65
en_36	4.86
en_37	5.12
en_38	4.44
en_39	5.57
en_40	5.07
en_41	4.78
en_42	4.66
en_43	4.8
en_44	4.89
en_45	4.45
en_46	4.19
en_47	4.56
en_48	5.47
en_49	4.76
en_50	3.53
en_51	4
en_52	4.09
en_53	4.38
en_54	4.66
en_55	4.56
en_56	4.44
en_57	4.46
en_58	5.6
en_59	5.3
en_60	4.94
en_61	3.97
en_62	4.3
en_63	2.76
en_64	1.75
en_65	4.57
en_66	4.35
en_67	5.16
en_68	4.58
en_69	5.43
en_70	3.16
en_71	3.6
en_72	4.54
en_73	3.23
en_74	4.36
en_75	4.7
en_76	4.94
en_77	4.9
en_78	2.86
en_79	4.1
en_80	5.26
en_81	4.56
en_82	5.52
en_83	5.07
en_84	4.78
en_85	5.32
en_86	4.1
en_87	4.65
en_88	2.41
en_89	4.45
en_90	5.21
en_91	4.82
en_92	3.55
en_93	4.72
en_94	2.78
en_95	4.96
en_96	4.44
en_97	4.46
en_98	4.36
en_99	4.06
en_100	4.76
en_101	4.61
en_102	4.32
en_103	4.14
en_104	4.37
en_105	5.46
en_106	5.25
en_107	1.47
en_108	4.94
en_109	5.51
en_110	4.91
en_111	4.56
en_112	4.8
en_113	4.38
en_114	5.22
en_115	4.32
en_116	4.52
en_117	5.16
en_118	5
en_119	4.19
en_120	4.44
en_121	4.48
en_122	5.36
en_123	4.88
en_124	3.23
en_125	4.26
en_126	4.9
en_127	4.61
en_128	4.84
en_129	4.55
en_130	3.11
en_131	2.8
en_132	4.26
en_133	4.7
en_134	5.08
en_135	4.04
en_136	3.64
en_137	1.33
en_138	4.91
en_139	4.82
en_140	5.17
en_141	5.02
en_142	4.92
en_143	5.15
en_144	5.78
en_145	3.76
en_146	4.5
en_147	5.08
en_148	3.57
en_149	4.5
en_150	4.84
en_151	4.86
en_152	4.28
en_153	4.75
en_154	4.68
en_155	4.86
en_156	4.85
en_157	3.62
fr_0	6.04
fr_1	5.7
fr_2	5.78
fr_3	4.25
fr_4	5.54
fr_5	5.64
fr_6	5.71
fr_7	5.72
fr_8	3.44
fr_9	4.53
fr_10	4.94
fr_11	4.94
fr_12	5.36
fr_13	5.97
fr_14	5.8
fr_15	5.15
fr_16	5.85
fr_17	5.04
fr_18	6
fr_19	6.13
fr_20	5.98
fr_21	6.08
fr_22	6.3
fr_23	5.59
fr_24	5.76
fr_25	6.2
fr_26	5.64
fr_27	6.08
fr_28	5.79
fr_29	5.58
fr_30	5.53
fr_31	6
fr_32	6.04
fr_33	5.68
fr_34	2.56
fr_35	4.81
fr_36	4.74
fr_37	5.6
fr_38	5.02
fr_39	6.02
fr_40	5.97
fr_41	6.15
fr_42	5.85
fr_43	5.68
fr_44	5.59
fr_45	5.79
fr_46	5.69
fr_47	6.24
fr_48	5.15
fr_49	6.1
fr_50	5.95
fr_51	6.14
fr_52	5.3
fr_53	3.71
fr_54	4.86
fr_55	5.44
fr_56	5.53
fr_57	5.64
fr_58	6.23
fr_59	5.97
fr_60	6.18
fr_61	5.78
fr_62	6.15
fr_63	5.74
fr_64	5.15
fr_65	5.8
fr_66	1.38
fr_67	3.24
fr_68	5.19
fr_69	5.85
fr_70	3.02
fr_71	5.78
fr_72	4.88
fr_73	6.03
fr_74	5.56
fr_75	1.93
fr_76	5.88
fr_77	6.08
fr_78	4.61
fr_79	6.09
fr_80	3.39
fr_81	2.37
fr_82	3.19
fr_83	5.72
fr_84	4.89
fr_85	5.98
fr_86	5.73
fr_87	1.36
fr_88	5.74
fr_89	5.43
fr_90	5.93
fr_91	6.08
fr_92	5.93
fr_93	4.34
fr_94	5.85
fr_95	5.38
fr_96	4.17
fr_97	5.89
fr_98	5.74
fr_99	5.24
fr_100	6.04
fr_101	5.7
fr_102	6.23
fr_103	6.08
fr_104	5.76
fr_105	6.03
fr_106	5.96
fr_107	6
fr_108	5.2
fr_109	5.56
fr_110	5.6
fr_111	4.52
fr_112	4.82
fr_113	6.14
fr_114	5.36
fr_115	4.94
fr_116	5.78
fr_117	5.94
fr_118	5.81
fr_119	5.8
fr_120	6.13
fr_121	6.11
fr_122	5.62
fr_123	5.46
fr_124	5.76
fr_125	5.94
fr_126	3.7
fr_127	5.95
fr_128	5.81
fr_129	5.86
fr_130	5.84
fr_131	5.91
fr_132	5.85
fr_133	5.9
fr_134	5.54
fr_135	5.54
fr_136	5.45
fr_137	6.24
fr_138	4.33
fr_139	2.56
fr_140	6
fr_141	5.52
fr_142	6.12
fr_143	5.8
fr_144	5.39
fr_145	6.1
fr_146	5.72
fr_147	2.58
fr_148	2.71
fr_149	6
fr_150	6.16
fr_151	5.92
fr_152	4.53
fr_153	2.34
fr_154	5.57
fr_155	5.92
fr_156	5.8
fr_157	5.08
it_0	4.22
it_1	3.92
it_2	4.42
it_3	4.47
it_4	4.77
it_5	2.56
it_6	3.55
it_7	4.46
it_8	4.37
it_9	4.08
it_10	3.3
it_11	4.1
it_12	4.07
it_13	4.49
it_14	4.48
it_15	4.38
it_16	3.63
it_17	5.61
it_18	3.81
it_19	3.84
it_20	4.56
it_21	5
it_22	4.03
it_23	5.3
it_24	4.72
it_25	4.31
it_26	4.5
it_27	4.67
it_28	4.24
it_29	5.72
it_30	4.48
it_31	4.53
it_32	5.43
it_33	4.96
it_34	4.88
it_35	4.36
it_36	4.48
it_37	4.12
it_38	4.36
it_39	4
it_40	4.88
it_41	4.68
it_42	4.36
it_43	4.11
it_44	4.92
it_45	5.1
it_46	4.1
it_47	4.8
it_48	5.01
it_49	5.05
it_50	4.48
it_51	3.88
it_52	4.58
it_53	4.65
it_54	4.06
it_55	3.42
it_56	4.5
it_57	4.18
it_58	4
it_59	4.49
it_60	5.16
it_61	3.96
it_62	5.19
it_63	5.58
it_64	5.19
it_65	5.14
it_66	4
it_67	4.61
it_68	4.14
it_69	4.31
it_70	5.26
it_71	4.96
it_72	4.23
it_73	4.06
it_74	4.73
it_75	4.81
it_76	5.33
it_77	3.71
it_78	4.04
it_79	3.58
it_80	4.83
it_81	5.04
it_82	4.98
it_83	4.18
it_84	3.34
it_85	3.2
it_86	5.11
it_87	4.98
it_88	4.82
it_89	5.34
it_90	4.64
it_91	3.93
it_92	4.31
it_93	4.38
it_94	4.37
it_95	4.94
it_96	4.95
it_97	4.16
it_98	4.67
it_99	4.19
it_100	4.72
it_101	4.37
it_102	4.67
it_103	4.96
it_104	4.84
it_105	4.28
it_106	5.13
it_107	2.65
it_108	4.58
it_109	4.62
it_110	5.2
it_111	4.06
it_112	5.12
it_113	3.38
it_114	3.5
it_115	4.16
it_116	4.54
it_117	4.74
it_118	2.6
it_119	4.92
it_120	4.27
it_121	4.34
it_122	4.72
it_123	4.72
it_124	2.89
it_125	4.22
it_126	2.76
it_127	4.73
it_128	4.19
it_129	4.42
it_130	4.62
it_131	4.42
it_132	4.39
it_133	3.91
it_134	4.38
it_135	4.18
it_136	4.23
it_137	5.04
it_138	4.3
it_139	3.65
it_140	4.92
it_141	4.06
it_142	4.96
it_143	3.43
it_144	5.58
it_145	3.24
it_146	2.89
it_147	5.28
it_148	3.79
it_149	5.3
it_150	4.73
it_151	4.7
it_152	5.08
it_153	4.48
it_154	4.86
it_155	3.5
it_156	2.95
it_157	4.73
